"Date","Price","Open","High","Low","Vol.","Change %"
"02/17/2022","93.17","93.82","94.59","92.66","1.71K","-1.91%"
"02/16/2022","94.98","94.02","95.67","91.36","1.23K","1.65%"
"02/15/2022","93.44","95.41","95.56","92.98","0.82K","-3.35%"
"02/14/2022","96.68","96.18","96.95","93.78","1.24K","1.59%"
"02/11/2022","95.17","91.61","95.11","91.61","1.33K","3.37%"
"02/10/2022","92.07","92.56","93.58","91.89","1.18K","-0.16%"
"02/09/2022","92.22","91.20","92.68","91.08","1.48K","1.04%"
"02/08/2022","91.27","92.59","92.73","90.92","1.68K","-2.06%"
"02/07/2022","93.19","93.89","93.89","92.83","1.94K","-0.84%"
"02/04/2022","93.98","92.63","94.14","92.57","1.76K","2.32%"
"02/03/2022","91.85","90.22","91.80","89.08","1.37K","1.63%"
"02/02/2022","90.38","89.70","90.12","89.70","1.56K","0.88%"
"02/01/2022","89.59","89.65","89.65","88.45","1.03K","-2.25%"
"01/31/2022","91.65","90.81","91.92","90.81","1.66K","1.46%"
"01/28/2022","90.33","90.19","90.19","89.91","1.91K","1.56%"
"01/27/2022","88.94","89.58","89.58","89.51","2.51K","-0.80%"
"01/26/2022","89.66","88.52","88.74","88.14","0.27K","1.67%"
"01/25/2022","88.19","86.62","87.75","86.31","1.78K","2.33%"
"01/24/2022","86.18","88.28","88.42","86.16","1.77K","-1.79%"
"01/21/2022","87.75","87.29","87.58","86.54","1.32K","-0.53%"
"01/20/2022","88.22","87.51","88.57","87.15","1.30K","0.02%"
"01/19/2022","88.20","88.65","88.78","87.59","2.56K","0.66%"
"01/18/2022","87.62","88.30","88.30","87.07","1.14K","0.92%"
"01/17/2022","86.82","86.38","86.92","85.90","1.42K","0.66%"
"01/14/2022","86.25","84.41","86.52","84.33","1.19K","2.11%"
"01/13/2022","84.47","84.13","84.86","83.92","1.41K","0.05%"
"01/12/2022","84.43","83.67","84.94","83.42","1.53K","1.03%"
"01/11/2022","83.57","81.37","83.75","81.32","1.06K","3.49%"
"01/10/2022","80.75","81.83","82.06","80.57","2.30K","-0.98%"
"01/07/2022","81.55","82.10","82.67","81.81","1.91K","-0.28%"
"01/06/2022","81.78","79.80","82.41","79.80","1.39K","1.54%"
"01/05/2022","80.54","79.65","80.61","79.38","1.09K","0.91%"
"01/04/2022","79.81","79.09","80.35","78.65","0.99K","1.41%"
"01/03/2022","78.70","78.44","78.61","77.55","0.96K","1.73%"
